Y2,measurement_time,Y1,X2,X1,Z1,Z2
0.694909,6902459581927501824,0.69572,0.69517,0.697054,0.696688,0.699356
0.694649,6902459583215991808,0.694619,0.694259,0.695925,0.695659,0.697376
0.694002,6902459584629036032,0.693931,0.694093,0.696038,0.695402,0.699026
0.695945,6902459585788677120,0.697371,0.69575,0.697732,0.697374,0.699356
0.694649,6902459587077167104,0.694481,0.694341,0.695925,0.695916,0.698366
0.696852,6902459588365657088,0.697096,0.695667,0.697619,0.697545,0.698366
0.6975,6902459589658442752,0.697784,0.696661,0.697845,0.698575,0.698036
0.698795,6902459590942638080,0.698472,0.697324,0.699199,0.699175,0.699686
0.70009,6902459592231128064,0.700537,0.700224,0.700329,0.701061,0.700676
0.700479,6902459593519618048,0.70095,0.69981,0.70078,0.701319,0.701667
0.696463,6902459594808108032,0.695582,0.696164,0.697732,0.697631,0.699356
0.693743,6902459596096598016,0.694756,0.693264,0.694796,0.695059,0.696386
0.697629,6902459597389383680,0.697647,0.696993,0.698296,0.698489,0.698366
0.699443,6902459598819607552,0.698885,0.69807,0.698974,0.699689,0.699026
0.698277,6902459600052262912,0.698748,0.698236,0.699425,0.699689,0.701006
0.699831,6902459601250558976,0.700124,0.700058,0.700216,0.701061,0.701337
0.695815,6902459602539048960,0.695995,0.696164,0.697732,0.697117,0.699026
0.694649,6902459603827539968,0.694068,0.693844,0.695022,0.694887,0.695726
0.698665,6902459605116029952,0.699298,0.698236,0.698635,0.699346,0.700016
0.70009,6902459606404519936,0.700124,0.698733,0.699199,0.700118,0.699356
0.696463,6902459607693009920,0.697784,0.696827,0.697732,0.69806,0.698366
0.70035,6902459608981499904,0.700124,0.699147,0.69999,0.700032,0.700016
0.697888,6902459610274285568,0.69806,0.697656,0.698409,0.698832,0.699356
0.70009,6902459611558480896,0.699161,0.69923,0.699312,0.699604,0.699026
0.699831,6902459612877035520,0.699574,0.698981,0.699764,0.700204,0.699356
0.696852,6902459614135460864,0.697509,0.696744,0.697054,0.697803,0.697376
0.696981,6902459615423950848,0.697096,0.696744,0.697393,0.69746,0.697376
0.699184,6902459616712441856,0.699574,0.699313,0.699764,0.70029,0.698696
0.705013,6902459618000931840,0.704666,0.704201,0.704732,0.70492,0.704307
0.687395,6902459619285127168,0.687049,0.687879,0.689602,0.688627,0.689125
0.699702,6902459620577911808,0.699161,0.700058,0.701458,0.700718,0.701337
0.702811,6902459621862107136,0.702739,0.702627,0.703603,0.703034,0.703647
0.703588,6902459623150597120,0.703152,0.702378,0.702813,0.703205,0.702327
0.699313,6902459624443382784,0.699436,0.69865,0.699538,0.699604,0.699356
0.698277,6902459625727578112,0.697784,0.697987,0.698748,0.698832,0.698366
0.6975,6902459627136326656,0.698197,0.697821,0.699087,0.698403,0.698696
0.695038,6902459628308852736,0.695169,0.695419,0.696264,0.69583,0.696386
0.69439,6902459629597343744,0.694619,0.694756,0.695699,0.69523,0.695396
0.695427,6902459630881539072,0.696546,0.696827,0.697506,0.697031,0.698366
0.698925,6902459632182914048,0.698748,0.69865,0.699199,0.699604,0.700346
0.696334,6902459633467109376,0.69627,0.696164,0.696828,0.696602,0.697046
0.699702,6902459634755599360,0.700399,0.700141,0.700893,0.700375,0.702327
0.699702,6902459636044089344,0.699849,0.699479,0.700216,0.700375,0.701006
0.701127,6902459637336873984,0.702189,0.701136,0.702361,0.702348,0.702987
0.699961,6902459638621069312,0.699298,0.699893,0.700442,0.700204,0.701997
0.701775,6902459639909560320,0.7015,0.70097,0.701797,0.701404,0.702327
0.700997,6902459641236704256,0.701088,0.70097,0.701458,0.701061,0.701997
0.699831,6902459642486540288,0.699574,0.699727,0.700103,0.699775,0.701006
0.700609,6902459643779324928,0.700124,0.700058,0.700442,0.700032,0.701006
0.699443,6902459645063520256,0.699849,0.699561,0.69999,0.700032,0.701337
0.701127,6902459646356305920,0.701088,0.701384,0.701797,0.701404,0.702327
0.698147,6902459647644795904,0.69861,0.697656,0.697957,0.698403,0.698696
0.700868,6902459648928991232,0.701225,0.700141,0.701006,0.701319,0.701337
0.701256,6902459650217481216,0.701363,0.701301,0.701232,0.701662,0.701337
0.70009,6902459651510266880,0.700537,0.699313,0.699764,0.700204,0.700676
0.704495,6902459652798756864,0.704941,0.704118,0.704506,0.704749,0.703647
0.707216,6902459654087246848,0.707006,0.706024,0.706426,0.706807,0.704967
0.703718,6902459655380032512,0.703978,0.704118,0.703716,0.704492,0.703317
0.702293,6902459656659932160,0.702601,0.702544,0.703039,0.70312,0.703317
0.698147,6902459657948422144,0.69861,0.69807,0.698974,0.699604,0.698696
0.700868,6902459659236913152,0.700124,0.701053,0.701345,0.701833,0.701006
0.696852,6902459660525403136,0.697371,0.697821,0.69807,0.69866,0.698696
0.699443,6902459661813893120,0.699023,0.698898,0.699538,0.700118,0.700676
0.699443,6902459663171102720,0.698748,0.699893,0.700442,0.700718,0.701667
0.701386,6902459664558376960,0.7015,0.701384,0.701458,0.702519,0.701337
0.704754,6902459665679364096,0.704115,0.704201,0.704281,0.70492,0.703647
0.700738,6902459666967854080,0.699986,0.700887,0.701684,0.701662,0.702657
0.700868,6902459668260638720,0.700675,0.701633,0.702248,0.702691,0.703317
0.700738,6902459669549128704,0.70095,0.701384,0.701909,0.702005,0.701997
0.702034,6902459670837619712,0.701225,0.701633,0.702587,0.702519,0.702657
0.703847,6902459672121815040,0.703014,0.703704,0.703603,0.704406,0.702657
0.7032,6902459673410305024,0.702877,0.702378,0.702587,0.703377,0.701337
0.702422,6902459674698795008,0.702739,0.702627,0.7027,0.703463,0.701997
0.700738,6902459675991579648,0.699849,0.700804,0.701458,0.701747,0.700676
0.700609,6902459677275774976,0.699574,0.70039,0.701232,0.701319,0.701006
0.702552,6902459678624395264,0.702326,0.702876,0.703039,0.70372,0.701667
0.703847,6902459679852755968,0.703427,0.704616,0.704394,0.705006,0.701997
0.702811,6902459681141245952,0.702051,0.702544,0.703264,0.703377,0.701006
0.705013,6902459682545699840,0.703703,0.704118,0.703829,0.704835,0.700346
0.70605,6902459683722521600,0.704528,0.705195,0.705184,0.705778,0.701667
0.703329,6902459685006716928,0.702601,0.703538,0.703829,0.704234,0.701997
0.703329,6902459686295206912,0.700675,0.702793,0.703716,0.703548,0.701667
0.705402,6902459687587991552,0.702877,0.704698,0.704732,0.705606,0.701997
0.707475,6902459688876481536,0.705354,0.707018,0.706313,0.706978,0.703647
0.707216,6902459690160676864,0.705354,0.708013,0.707668,0.707922,0.705297
0.706956,6902459691470642176,0.704115,0.705775,0.705071,0.705435,0.701997
0.707216,6902459692814966784,0.704115,0.705941,0.705184,0.705949,0.701997
0.707216,6902459694026147840,0.704666,0.706604,0.704732,0.705864,0.701667
0.70877,6902459695318932480,0.70618,0.70735,0.705636,0.706978,0.702987
0.701904,6902459696603127808,0.698885,0.699976,0.699087,0.699604,0.696056
0.694909,6902459697891618816,0.692141,0.694341,0.693215,0.693858,0.689785
0.69439,6902459699184403456,0.692692,0.695087,0.694231,0.694458,0.692095
0.704365,6902459700472893440,0.702326,0.703124,0.702248,0.702433,0.699686
0.7089,6902459701761383424,0.706593,0.707433,0.706087,0.70715,0.702987
0.70877,6902459703049874432,0.706455,0.707598,0.706765,0.706978,0.703317
0.704884,6902459704334069760,0.703565,0.704781,0.703942,0.704149,0.701667
0.702163,6902459705626854400,0.700262,0.701716,0.701345,0.70089,0.699026
0.70307,6902459706966884352,0.701638,0.702876,0.702474,0.702605,0.700346
0.697759,6902459708203834368,0.696546,0.69807,0.697957,0.69746,0.695066
0.701645,6902459709488029696,0.700537,0.702296,0.701232,0.701404,0.698366
0.701386,6902459710780815360,0.700124,0.700473,0.700893,0.700547,0.697706
0.701256,6902459712065010688,0.699986,0.701136,0.700554,0.70089,0.697706
0.706568,6902459713353500672,0.705217,0.705941,0.705636,0.705006,0.701997
0.707086,6902459714641990656,0.705217,0.706438,0.706313,0.706121,0.703647
