measurement_time,FORT
6902459581498004480,20.0483
6902459582786494464,20.1611
6902459584074985472,20.0389
6902459585363475456,19.9793
6902459586651965440,19.9198
6902459587936160768,20.0169
6902459589289075712,20.0483
6902459590517436416,20.0075
6902459591805926400,20.0075
6902459593090121728,19.9699
6902459594382906368,19.9448
6902459595671396352,20.0827
6902459596964182016,20.0451
6902459598248377344,19.9824
6902459599536867328,20.0075
6902459600825357312,20.0075
6902459602109552640,20.0984
6902459603428107264,19.9824
6902459604690828288,19.9856
6902459605975023616,19.9699
6902459607263513600,19.9511
6902459608556298240,19.9542
6902459609849083904,20.0326
6902459611141868544,19.973
6902459612417474560,20.0044
6902459613701669888,19.9386
6902459614994454528,19.9856
6902459616287240192,20.0639
6902459617605794816,20.0263
6902459618859925504,19.995
6902459620212839424,20.0107
6902459621432610816,20.0702
6902459622725395456,19.995
6902459624009590784,19.9386
6902459625298080768,19.9166
6902459626590866432,20.0044
6902459627879356416,20.0357
6902459629172142080,19.9793
6902459630456336384,20.0138
6902459631826430976,20.0169
6902459633041906688,20.0138
6902459634326102016,19.9856
6902459635618887680,19.9605
6902459636903083008,19.9793
6902459638195867648,20.0138
6902459639480062976,19.9919
6902459640768552960,19.9793
6902459642057043968,20.0044
6902459643349828608,19.9919
6902459644634023936,19.9919
6902459645948283904,19.9856
6902459647215299584,19.9762
6902459648503789568,20.0451
6902459649792279552,20.0608
6902459651080769536,20.0702
6902459652373555200,19.973
6902459653657750528,20.0013
6902459654950535168,19.9856
6902459656230435840,19.9824
6902459657518925824,19.948
6902459658811710464,19.9919
6902459660100201472,20.0295
6902459661388691456,19.9981
6902459662672886784,20.0483
6902459663965671424,20.0169
6902459665249866752,19.9793
6902459666542652416,19.9417
6902459667835437056,20.0107
6902459669162582016,19.995
6902459670403827712,19.995
6902459671696612352,19.9824
6902459672985103360,20.0169
6902459674273593344,20.0138
6902459675557788672,19.9824
6902459676850573312,19.9919
6902459678139063296,20.0232
6902459679427554304,20.0075
6902459680716044288,19.9104
6902459682000239616,19.9448
6902459683323088896,20.0608
6902459684641644544,20.0859
6902459685870005248,20.089
6902459687162789888,20.0577
6902459688442690560,19.9856
6902459689735475200,19.9668
6902459691019670528,20.0075
6902459692312456192,19.9919
6902459693600946176,20.0357
6902459694889436160,20.042
6902459696173631488,20.0827
6902459697509365760,20.0263
6902459698754907136,19.9762
6902459700043397120,19.9699
6902459701327592448,20.0326
6902459702616082432,20.0608
6902459703904572416,20.0357
6902459705197358080,20.0138
6902459706490142720,19.9699
6902459707770043392,19.9166
6902459709062828032,19.9887
6902459710351318016,20.0201
6902459711665577984,20.0044
6902459712928299008,19.9574
6902459714212494336,19.948
6902459715505278976,19.973
6902459716789474304,19.9793
6902459718077964288,19.9762
6902459719370749952,20.0107
6902459720659239936,20.0608
6902459721947729920,19.9856
6902459723231925248,19.9887
6902459724524710912,19.9511
6902459725808906240,19.995
6902459727101690880,19.9824
6902459728385886208,20.089
6902459729678670848,20.0201
6902459730962866176,19.9793
6902459732255651840,19.8728
6902459733544141824,19.973
6902459734931416064,19.9542
6902459736116827136,20.0639
6902459737409612800,20.0859
6902459738693808128,20.0671
6902459739982298112,20.0451
6902459741275082752,19.8947
6902459742567868416,20.0107
6902459743852063744,20.0107
6902459745140553728,20.0608
6902459746424749056,20.0107
6902459747713239040,20.0483
6902459749091923968,19.973
6902459750294514688,19.9887
6902459751578710016,20.0044
6902459752867200000,19.9542
6902459754159984640,19.9198
6902459755439885312,19.9104
6902459756732669952,19.9448
6902459758016865280,20.0044
6902459759313945600,20.0357
6902459760602435584,20.0702
6902459761886630912,20.0702
6902459763213775872,20.0263
6902459764467906560,20.0201
6902459765760691200,19.9574
6902459767049182208,20.0044
6902459768337672192,20.0075
6902459769630456832,19.9856
6902459770918946816,19.9668
6902459772203142144,19.9668
6902459773487337472,19.9292
6902459774780123136,19.9354
6902459776068613120,20.1141
6902459777430117376,20.0201
6902459778645593088,19.9417
6902459779934084096,20.0389
6902459781226868736,19.9198
6902459782511064064,20.0326
6902459783803848704,20.0107
6902459785088044032,19.8947
6902459786376535040,19.9354
6902459787669319680,19.8571
6902459788953515008,19.9386
6902459790237710336,20.0796
6902459791534790656,20.136
6902459792818985984,19.9981
6902459794103180288,20.0451
6902459795400260608,19.9981
6902459796680161280,20.0075
6902459797968651264,20.0451
6902459799257141248,20.1078
6902459800554221568,20.1392
6902459801842711552,19.9511
6902459803122612224,19.8383
6902459804411102208,19.8665
6902459805699592192,20.1109
6902459806992377856,20.0796
6902459808285162496,19.9699
6902459809569357824,19.9981
6902459810853553152,20.0107
6902459812146338816,19.995
6902459813490663424,19.9668
6902459814744793088,20.0044
6902459816016103424,20.0075
6902459817300298752,19.973
6902459818588789760,19.973
6902459819877279744,20.0232
6902459821161475072,19.9793
6902459822454259712,20.0577
6902459823742749696,19.9699
6902459825026945024,19.9574
6902459826315435008,19.9762
6902459827608220672,20.0326
6902459828918185984,20.0107
6902459830185200640,19.9511
6902459831473691648,19.9417
6902459832757885952,20.0232
6902459834046376960,20.0514
6902459835334866944,20.0107
6902459836623356928,20.0326
6902459837916142592,20.0326
6902459839200336896,19.9856
6902459840488827904,20.0389
6902459841785907200,19.901
6902459843117347840,19.8884
6902459844358593536,19.9919
6902459845651378176,19.9887
6902459846939868160,19.9762
6902459848219768832,19.9981
6902459849516849152,20.0483
6902459850796748800,19.9887
6902459852089534464,20.0075
6902459853373729792,20.0671
6902459854662219776,20.0577
6902459855955004416,19.995
6902459857290739712,20.0263
6902459858531985408,20.0013
6902459859824770048,20.0263
6902459861108965376,19.9856
6902459862401751040,19.8132
6902459863685946368,19.9041
6902459864978731008,19.9417
6902459866275811328,20.0232
6902459867551416320,20.0702
6902459868835611648,20.0608
6902459870124101632,20.0169
6902459871416887296,19.9762
6902459872701082624,19.9699
6902459874002457600,19.926
6902459875282357248,19.9386
6902459876566552576,20.0138
6902459877915172864,19.9668
6902459879143533568,19.9762
6902459880449203200,20.0451
6902459881716218880,20.0263
6902459883004708864,20.042
6902459884293198848,20.0984
6902459885585984512,20.0263
6902459886874474496,19.9856
6902459888158669824,20.0044
6902459889451454464,20.0232
6902459890739944448,19.9856
6902459892028435456,19.995
6902459893316925440,20.0389
6902459894639774720,20.0044
6902459895893905408,20.0514
6902459897182395392,19.9824
6902459898470886400,20.0263
6902459899767965696,20.0044
6902459901052161024,19.9699
6902459902336356352,20.0232
6902459903629142016,20.0075
6902459904917632000,19.9166
6902459906206121984,19.9229
6902459907494611968,19.9636
6902459908813167616,20.0514
6902459910067297280,20.0514
6902459911360082944,20.0827
6902459912652867584,20.136
6902459913937062912,20.0169
6902459915229848576,19.9668
6902459916518338560,20.0326
6902459917802533888,20.0796
6902459919086729216,20.0514
6902459920379513856,19.9919
6902459921672299520,19.9386
6902459923033803776,19.9542
6902459924249279488,19.8163
6902459925533474816,19.948
6902459926817670144,20.0577
6902459928106160128,20.0859
6902459929398945792,20.0295
6902459930687435776,19.9887
6902459931971631104,20.0232
6902459933264415744,19.9292
6902459934552906752,19.9542
6902459935845691392,20.0044
6902459937155656704,19.9636
6902459938414082048,20.0357
6902459939702572032,20.0044
6902459940999652352,19.9793
6902459942374041600,19.926
6902459943568043008,20.0075
6902459944860827648,19.9762
6902459946149317632,20.0577
6902459947433512960,20.0451
6902459948726298624,20.0545
6902459950019083264,20.0201
6902459951303278592,19.973
6902459952587473920,19.9448
6902459953875963904,20.0733
6902459955168749568,20.0827
6902459956452944896,20.0169
6902459957741434880,19.8539
6902459959038515200,19.9793
6902459960344184832,19.973
6902459961606904832,19.9824
6902459962895395840,19.9448
6902459964188180480,20.0295
6902459965476670464,19.9919
6902459966760865792,20.0075
6902459968049355776,20.0263
6902459969337846784,20.042
6902459970630631424,19.9887
6902459971919121408,20.0107
6902459973207612416,19.9605
6902459974530461696,19.9166
6902459975788887040,19.973
6902459977073082368,20.0608
6902459978361572352,20.0671
6902459979650063360,20.0263
6902459980938553344,20.0451
6902459982227043328,19.9824
6902459983515533312,19.9354
6902459984804023296,19.9887
6902459986088218624,19.948
6902459987381004288,19.9981
6902459988725328896,20.0451
6902459989957984256,20.0451
6902459991246474240,20.1329
6902459992530669568,19.9856
6902459993827749888,19.9386
6902459995111945216,19.9323
6902459996404729856,20.0389
6902459997693220864,20.0263
6902459998981710848,19.9981
6902460000265906176,19.9793
6902460001550101504,20.0295
6902460002920196096,20.0044
6902460004135671808,19.9793
6902460005424161792,19.9699
6902460006807141376,19.9668
6902460007996847104,19.9856
6902460009281042432,20.0295
6902460010573827072,20.0138
6902460011858022400,19.9636
6902460013150808064,19.9699
6902460014439298048,20.0295
6902460015727788032,19.948
6902460017033458688,19.973
6902460018296178688,19.9386
6902460019584668672,20.0389
6902460020877454336,20.0075
6902460022161649664,19.9229
6902460023454434304,20.0357
6902460024742924288,20.0483
6902460026035709952,19.9824
6902460027319905280,20.0608
6902460028608395264,20.0859
6902460029892590592,19.9542
6902460031189670912,19.926
6902460032478160896,19.9166
6902460033766650880,19.9824
6902460035055140864,20.0075
6902460036343630848,20.0044
6902460037636416512,19.9981
6902460038920611840,19.9354
6902460040252051456,19.8978
6902460041493297152,20.0263
6902460042781787136,20.0263
6902460044078867456,19.9824
6902460045358767104,19.926
6902460046647258112,19.9668
6902460047940042752,20.1078
6902460049228532736,20.1078
6902460050517023744,20.089
6902460051805513728,20.1172
6902460053094003712,19.995
6902460054434033664,20.0263
6902460055675279360,19.9699
6902460056955179008,19.9981
6902460058256553984,20.0733
6902460059540749312,19.9668
6902460060820649984,19.9793
6902460062113434624,20.0138
6902460063401925632,19.9511
6902460064690415616,19.9981
6902460065974610944,19.9417
6902460067271690240,19.9762
6902460068611720192,20.089
6902460069840080896,20.0733
6902460071188701184,20.0263
6902460072417061888,20.0107
6902460073709846528,19.995
6902460074994041856,19.9292
6902460076282531840,19.9386
